Device,Best_Original_Model,Best_Original_F1,Best_BigFeat_Model,Best_BigFeat_F1,BigFeat_Available,F1_Improvement
device1,ExtraTrees,0.6761993647317646,ExtraTrees,0.6759594256645401,True,-0.00023993906722441505
device2,TPOT (ExtraTrees),0.6926010899876835,ExtraTrees,0.695375576445097,True,0.0027744864574134054
device3,TPOT (ExtraTrees),0.7700058984693829,ExtraTrees,0.770465464357091,True,0.0004595658877080133
device4,ExtraTrees,0.6834665729364447,TPOT (ExtraTrees),0.6839328365299304,True,0.0004662635934856718
device5,ExtraTrees,0.6441170071901007,ExtraTrees,0.6445652500161195,True,0.000448242826018852
device6,TPOT (ExtraTrees),0.6434278689019178,ExtraTrees,0.6442167288573387,True,0.0007888599554208842
device7,TPOT (ExtraTrees),0.774892602861127,TPOT (ExtraTrees),0.7740557623000858,True,-0.0008368405610412744
device8,Stacking,0.700997741386109,ExtraTrees,0.7027629076952676,True,0.0017651663091585723
device9,TPOT (ExtraTrees),0.7001067715366538,ExtraTrees,0.6987662852223264,True,-0.0013404863143273715
