Model,Original F1 Score,BigFeat F1 Score,F1 Diff (BigFeat - Original),Original Training Time,BigFeat Training Time,Training Time Ratio (BigFeat/Original),F1 Diff (TPOT - ExtraTrees)
Bagging,0.7699057926302805,0.7693846697001815,-0.0005211229300989828,52.215431690216064,127.55947041511536,2.4429458167060787,0.0
Stacking,0.7695634087942491,0.7694773866465745,-8.602214767461369e-05,36.41298151016235,62.57610011100769,1.7185107485236708,0.0
Voting,0.7657602202746799,0.7657323601004249,-2.78601742550455e-05,7.0585973262786865,12.401167392730713,1.7568883475704153,0.0
ExtraTrees,0.7690062993329264,0.770465464357091,0.0014591650241645437,3.8424184322357178,5.344755172729492,1.3909872823558254,0.0
Blending,0.7625438316435346,0.7620935725452582,-0.0004502590982763399,7.078455209732056,12.517201662063599,1.7683521744764163,0.0
TPOT (ExtraTrees),0.7700058984693829,0.7703035140630192,0.0002976155936362801,559.4765200614929,571.5001928806305,1.021490933735371,0.0009995991364565304
