Model,F1 Score,Training Time
Bagging,0.6420072585476411,109.96821570396423
Stacking,0.6421805822259128,81.09565329551697
Voting,0.638291331708994,14.606999158859253
ExtraTrees,0.6433639795339889,10.133443117141724
Blending,0.6364184744864496,14.776866674423218
TPOT (ExtraTrees),0.6434278689019178,602.5267355442047
