Model,Original F1 Score,BigFeat F1 Score,F1 Diff (BigFeat - Original),Original Training Time,BigFeat Training Time,Training Time Ratio (BigFeat/Original),F1 Diff (TPOT - ExtraTrees)
Bagging,0.6921209141040865,0.6952513219977785,0.003130407893692011,67.3564510345459,162.73023533821106,2.415956197792394,0.0
Stacking,0.6922485492454716,0.694660497882134,0.0024119486366623866,45.854655504226685,84.15866136550903,1.8353351571412777,0.0
Voting,0.6858835725548103,0.6918909917740452,0.006007419219234977,8.305775880813599,15.75178337097168,1.8964854815500634,0.0
ExtraTrees,0.6917839559060325,0.695375576445097,0.0035916205390644773,4.259764194488525,5.974902391433716,1.4026368875451636,0.0
Blending,0.6816193386564189,0.6878752910505117,0.006255952394092823,8.36692762374878,15.775232791900635,1.8854271844212014,0.0
TPOT (ExtraTrees),0.6926010899876835,0.6944859517200105,0.0018848617323269368,521.6649262905121,518.4293239116669,0.9937975466323696,0.0008171340816510719
