,accuracy,f1_score
ExtraTrees Original,0.7083712121212121,0.6947274198703862
ExtraTrees BigFeat,0.7074621212121213,0.6937238047698732
TPOT Original,0.7064015151515152,0.6925324863346776
TPOT BigFeat,0.7043181818181818,0.6904665978694396
