Feature_Name,SHAP_Value,Feature_Type,Rank
HH_L1_magnitude,0.02695390943690899,Original,1
HH_L1_weight,0.022348650243711483,Original,2
HH_L3_magnitude,0.020593797327929878,Original,3
HH_L5_weight,0.01922219860767715,Original,4
HH_L3_weight,0.018800378219042756,Original,5
HH_L5_magnitude,0.01869406526019896,Original,6
HH_L3_mean,0.013562326958102174,Original,7
HH_L1_mean,0.013381640299973624,Original,8
HH_L1_std,0.011361340017275583,Original,9
HH_L5_mean,0.009981896805995144,Original,10
HH_L1_radius,0.009580626927268297,Original,11
HH_L5_std,0.006913672373989561,Original,12
HH_L3_covariance,0.006643184756381958,Original,13
HH_L3_radius,0.006389417854402064,Original,14
HH_L3_std,0.0062676442053198125,Original,15
