Feature_Name,SHAP_Value,Feature_Type,Rank
BigFeat_Gen_0,0.043293549661278304,BigFeat_Generated,1
HH_L1_weight,0.039891701106065124,Original,2
HH_L3_weight,0.03241662156157625,Original,3
HH_L3_mean,0.02614993496684484,Original,4
HH_L1_mean,0.025618180901783118,Original,5
HH_L5_weight,0.023514971771997198,Original,6
HH_L5_mean,0.018005180883393108,Original,7
HH_L1_magnitude,0.017784140171940296,Original,8
BigFeat_Gen_1,0.017571871717707452,BigFeat_Generated,9
HH_L5_magnitude,0.015103511885271521,Original,10
HH_L3_magnitude,0.013449919122647092,Original,11
HH_L1_std,0.012175018228624698,Original,12
HH_L1_radius,0.010120691929954923,Original,13
HH_L3_std,0.00790089074263448,Original,14
HH_L3_radius,0.006402310960225933,Original,15
