,accuracy,f1_score
ExtraTrees Original,0.8285,0.7730953063927486
ExtraTrees BigFeat,0.82925,0.7738567269013299
TPOT Original,0.8276666666666667,0.7722622249216877
TPOT BigFeat,0.829,0.7736066849605804
