Feature_Name,SHAP_Value,Feature_Type,Rank
HH_L1_weight,0.023065806679255972,Original,1
HH_L3_weight,0.01943797175970232,Original,2
HH_L3_magnitude,0.018976301313804372,Original,3
HH_L1_magnitude,0.01696528665392229,Original,4
HH_L5_magnitude,0.016433791830739196,Original,5
HH_L1_mean,0.01642575761217811,Original,6
HH_L5_weight,0.014853302044599885,Original,7
HH_L5_mean,0.014589408406436008,Original,8
HH_L3_mean,0.013744899316572001,Original,9
HH_L1_std,0.008123578709024555,Original,10
HH_L1_radius,0.008032126155395464,Original,11
HpHp_L0.01_pcc,0.007443148319395458,Original,12
HH_L3_radius,0.006618418197028944,Original,13
HH_L5_std,0.006594637254445638,Original,14
HH_L3_std,0.0064532601355563254,Original,15
