Feature_Name,SHAP_Value,Feature_Type,Rank
HH_L1_weight,0.046877634181796204,Original,1
BigFeat_Gen_0,0.041412824469171744,BigFeat_Generated,2
HH_L1_magnitude,0.026585776026441667,Original,3
HH_L3_weight,0.026272573955849265,Original,4
HH_L1_mean,0.02518377031306448,Original,5
BigFeat_Gen_1,0.02214163648172535,BigFeat_Generated,6
HH_L3_magnitude,0.022066605747113992,Original,7
HH_L5_magnitude,0.021388486060030007,Original,8
HH_L5_weight,0.020631387569758283,Original,9
HH_L5_mean,0.02010084914518683,Original,10
HH_L3_mean,0.020046040936293405,Original,11
HH_L3_std,0.017793784990177197,Original,12
HH_L1_std,0.01767288590474289,Original,13
HH_L1_radius,0.01514698486128321,Original,14
HH_L5_radius,0.01249173416084961,Original,15
