Feature_Name,SHAP_Value,Feature_Type,Rank
HH_L1_weight,0.02956639013364329,Original,1
HH_L3_magnitude,0.025027280921629237,Original,2
HH_L5_magnitude,0.02492980092057731,Original,3
HH_L1_magnitude,0.023636475922118278,Original,4
HH_L3_weight,0.023207542895340022,Original,5
HH_L5_weight,0.019299662151446247,Original,6
HH_L5_mean,0.019203059778783935,Original,7
HH_L3_mean,0.01730753308943502,Original,8
HH_L1_mean,0.016939931275903243,Original,9
HH_L1_radius,0.01113090848226493,Original,10
HH_L1_std,0.010846504126515978,Original,11
HH_L5_std,0.007294332599401027,Original,12
HH_L3_std,0.006866268409628304,Original,13
HH_L5_radius,0.006413996540420916,Original,14
HH_L3_radius,0.0059405342955755015,Original,15
