Feature_Name,SHAP_Value,Feature_Type,Rank
HH_L1_weight,0.02624356107678243,Original,1
HH_L5_magnitude,0.026023698912043945,Original,2
HH_L3_magnitude,0.02442881742669141,Original,3
HH_L3_weight,0.02438837975402648,Original,4
HH_L1_magnitude,0.022872378384660212,Original,5
HH_L5_weight,0.021402015561917054,Original,6
HH_L5_mean,0.017383735451434967,Original,7
HH_L1_mean,0.0160385761987701,Original,8
HH_L3_mean,0.01586506341784744,Original,9
HH_L3_radius,0.007348157637929873,Original,10
HH_L5_std,0.00657560342945265,Original,11
HH_L1_std,0.006392540593784043,Original,12
HH_L1_radius,0.0063053904592031374,Original,13
HH_L3_std,0.005896087474095708,Original,14
HH_L5_radius,0.0003784962372141971,Original,15
