Feature_Name,SHAP_Value,Feature_Type,Rank
HH_L1_weight,0.040751180966992956,Original,1
HH_L3_weight,0.035172307030164905,Original,2
HH_L5_weight,0.03257758123203182,Original,3
HH_L1_magnitude,0.031007731719242967,Original,4
HH_L5_mean,0.02912408942337795,Original,5
HH_L5_magnitude,0.028508717989070256,Original,6
HH_L3_magnitude,0.02593222062288038,Original,7
HH_L1_mean,0.02566458275150117,Original,8
HH_L3_mean,0.02417610376685428,Original,9
HH_L1_radius,0.020477552347780318,Original,10
HH_L1_std,0.019712809804814796,Original,11
HH_L5_std,0.01766775131566411,Original,12
HpHp_L0.01_pcc,0.01370058415364869,Original,13
HH_L5_radius,0.011863624596598763,Original,14
HH_L3_std,0.011487404635906077,Original,15
