Feature_Name,SHAP_Value,Feature_Type,Rank
HH_L1_weight,0.020575309247575516,Original,1
BigFeat_Gen_1,0.01867064032180292,BigFeat_Generated,2
HH_L3_magnitude,0.014434172807408436,Original,3
HH_L5_weight,0.014121599557805904,Original,4
HH_L5_magnitude,0.013611825874886584,Original,5
BigFeat_Gen_2,0.013314505403128223,BigFeat_Generated,6
HH_L3_weight,0.013141989539024885,Original,7
HH_L1_magnitude,0.012321889162154202,Original,8
HH_L1_mean,0.012128757119204215,Original,9
HH_L3_mean,0.012001734100620833,Original,10
BigFeat_Gen_3,0.011348610746639258,BigFeat_Generated,11
BigFeat_Gen_0,0.010649240328537965,BigFeat_Generated,12
HH_L5_mean,0.009355374288048543,Original,13
HH_L5_std,0.0052807165022681155,Original,14
HH_L3_std,0.0038135460780471114,Original,15
