Feature_Name,SHAP_Value,Feature_Type,Rank
HH_L1_weight,0.050530924944490865,Original,1
HH_L3_weight,0.03757607456708568,Original,2
HH_L5_weight,0.033705043428060286,Original,3
HH_L3_mean,0.027816956642536615,Original,4
HH_L1_mean,0.025700371640414225,Original,5
HH_L1_magnitude,0.02498171549136652,Original,6
HH_L3_magnitude,0.02445488654061291,Original,7
HH_L5_mean,0.023966916275473326,Original,8
HH_L5_magnitude,0.02168856296679387,Original,9
HH_L1_std,0.01900139983535868,Original,10
HH_L1_radius,0.014498917065742639,Original,11
HH_L3_std,0.0116171614884353,Original,12
HH_L3_radius,0.011516364020094599,Original,13
HH_L5_std,0.010192703490791807,Original,14
HH_L5_radius,0.009518973926438615,Original,15
