Model,Feature,SHAP_Value,Feature_Type,Rank
ExtraTrees Original,HH_L5_magnitude,0.026356519102460993,Original,1
ExtraTrees Original,HH_L1_magnitude,0.026039624991974944,Original,2
ExtraTrees Original,HH_L1_weight,0.02367931848843869,Original,3
ExtraTrees Original,HH_L3_magnitude,0.022178720449361772,Original,4
ExtraTrees Original,HH_L5_mean,0.02141195155275182,Original,5
ExtraTrees Original,HH_L3_weight,0.020987033676564393,Original,6
ExtraTrees Original,HH_L3_mean,0.020568979624347693,Original,7
ExtraTrees Original,HH_L1_mean,0.019288119955745076,Original,8
ExtraTrees Original,HH_L5_weight,0.014542539803136443,Original,9
ExtraTrees Original,HH_L1_std,0.010170903383809642,Original,10
ExtraTrees Original,HH_L1_radius,0.007741035718077831,Original,11
ExtraTrees Original,HH_L5_std,0.007503731499435649,Original,12
ExtraTrees Original,HH_L3_std,0.006918534771164053,Original,13
ExtraTrees Original,HH_L5_radius,0.0059918701273696685,Original,14
ExtraTrees Original,HH_L3_radius,0.005137655823482646,Original,15
ExtraTrees BigFeat,HH_L5_magnitude,0.02028209117469793,Original,1
ExtraTrees BigFeat,HH_L1_weight,0.018335222051044122,Original,2
ExtraTrees BigFeat,HH_L3_magnitude,0.017213088106136663,Original,3
ExtraTrees BigFeat,HH_L3_weight,0.0154134516426152,Original,4
ExtraTrees BigFeat,HH_L3_mean,0.01439174496398389,Original,5
ExtraTrees BigFeat,BigFeat_Gen_0,0.013276034809880757,BigFeat_Generated,6
ExtraTrees BigFeat,BigFeat_Gen_1,0.013243357488265278,BigFeat_Generated,7
ExtraTrees BigFeat,HH_L1_mean,0.012910070450795827,Original,8
ExtraTrees BigFeat,HH_L5_mean,0.012378420487162967,Original,9
ExtraTrees BigFeat,HH_L1_magnitude,0.012318474535519154,Original,10
ExtraTrees BigFeat,HH_L5_weight,0.01179173952000764,Original,11
ExtraTrees BigFeat,BigFeat_Gen_2,0.009985765678009394,BigFeat_Generated,12
ExtraTrees BigFeat,HH_L1_std,0.007955168286013859,Original,13
ExtraTrees BigFeat,HH_L1_radius,0.006325338747400055,Original,14
ExtraTrees BigFeat,HpHp_L0.01_pcc,0.005930574058841683,Original,15
TPOT Original,HH_L5_magnitude,0.028814126533923075,Original,1
TPOT Original,HH_L3_magnitude,0.026973590845158837,Original,2
TPOT Original,HH_L1_magnitude,0.0250162316718329,Original,3
TPOT Original,HH_L1_weight,0.022978720330255588,Original,4
TPOT Original,HH_L3_mean,0.02204773669838522,Original,5
TPOT Original,HH_L5_mean,0.021252433194889425,Original,6
TPOT Original,HH_L3_weight,0.01975087488665491,Original,7
TPOT Original,HH_L5_weight,0.01866877489691477,Original,8
TPOT Original,HH_L1_mean,0.017272467758654396,Original,9
TPOT Original,HH_L1_std,0.011713105297580764,Original,10
TPOT Original,HH_L1_radius,0.01044955205931974,Original,11
TPOT Original,HH_L3_std,0.008660759382148804,Original,12
TPOT Original,HpHp_L0.01_pcc,0.008169043301891941,Original,13
TPOT Original,HH_L5_std,0.007757881237420273,Original,14
TPOT Original,HH_L5_radius,0.000731808955175169,Original,15
TPOT BigFeat,HH_L5_magnitude,0.024211640098225032,Original,1
TPOT BigFeat,HH_L1_weight,0.01850111252429232,Original,2
TPOT BigFeat,HH_L3_weight,0.017739111598782668,Original,3
TPOT BigFeat,HH_L1_magnitude,0.017053880021616532,Original,4
TPOT BigFeat,HH_L3_mean,0.01687235686716607,Original,5
TPOT BigFeat,HH_L1_mean,0.016276610085437092,Original,6
TPOT BigFeat,BigFeat_Gen_0,0.015691239297936296,BigFeat_Generated,7
TPOT BigFeat,HH_L3_magnitude,0.015185176681578528,Original,8
TPOT BigFeat,HH_L5_weight,0.014090930803859982,Original,9
TPOT BigFeat,BigFeat_Gen_1,0.01408019087931053,BigFeat_Generated,10
TPOT BigFeat,HH_L5_mean,0.012810994000682759,Original,11
TPOT BigFeat,BigFeat_Gen_2,0.01173956984017205,BigFeat_Generated,12
TPOT BigFeat,HH_L1_radius,0.008032575256422324,Original,13
TPOT BigFeat,HH_L1_std,0.006523579650816636,Original,14
TPOT BigFeat,HH_L3_std,0.0058485896331420964,Original,15
