Model,Feature,SHAP_Value,Feature_Type,Rank
ExtraTrees Original,HH_L1_weight,0.050530924944490865,Original,1
ExtraTrees Original,HH_L3_weight,0.03757607456708568,Original,2
ExtraTrees Original,HH_L5_weight,0.033705043428060286,Original,3
ExtraTrees Original,HH_L3_mean,0.027816956642536615,Original,4
ExtraTrees Original,HH_L1_mean,0.025700371640414225,Original,5
ExtraTrees Original,HH_L1_magnitude,0.02498171549136652,Original,6
ExtraTrees Original,HH_L3_magnitude,0.02445488654061291,Original,7
ExtraTrees Original,HH_L5_mean,0.023966916275473326,Original,8
ExtraTrees Original,HH_L5_magnitude,0.02168856296679387,Original,9
ExtraTrees Original,HH_L1_std,0.01900139983535868,Original,10
ExtraTrees Original,HH_L1_radius,0.014498917065742639,Original,11
ExtraTrees Original,HH_L3_std,0.0116171614884353,Original,12
ExtraTrees Original,HH_L3_radius,0.011516364020094599,Original,13
ExtraTrees Original,HH_L5_std,0.010192703490791807,Original,14
ExtraTrees Original,HH_L5_radius,0.009518973926438615,Original,15
ExtraTrees BigFeat,HH_L1_weight,0.04119377868964161,Original,1
ExtraTrees BigFeat,HH_L3_weight,0.035222512329748476,Original,2
ExtraTrees BigFeat,BigFeat_Gen_0,0.03450173508441616,BigFeat_Generated,3
ExtraTrees BigFeat,HH_L5_weight,0.024409533980024344,Original,4
ExtraTrees BigFeat,BigFeat_Gen_1,0.024372905951235046,BigFeat_Generated,5
ExtraTrees BigFeat,HH_L1_mean,0.020762855160535824,Original,6
ExtraTrees BigFeat,HH_L3_mean,0.019841755269780968,Original,7
ExtraTrees BigFeat,HH_L1_magnitude,0.01890571273339647,Original,8
ExtraTrees BigFeat,HH_L5_magnitude,0.018288536526642016,Original,9
ExtraTrees BigFeat,HH_L3_magnitude,0.01644186088224887,Original,10
ExtraTrees BigFeat,HH_L5_mean,0.01634038941864183,Original,11
ExtraTrees BigFeat,HH_L1_radius,0.013399024129210825,Original,12
ExtraTrees BigFeat,HH_L1_std,0.013283583822274856,Original,13
ExtraTrees BigFeat,HH_L3_std,0.011865865658365808,Original,14
ExtraTrees BigFeat,HH_L3_radius,0.011314683430555868,Original,15
TPOT Original,HH_L1_weight,0.051476475769397,Original,1
TPOT Original,HH_L5_weight,0.039061060605259317,Original,2
TPOT Original,HH_L3_weight,0.037616733878210226,Original,3
TPOT Original,HH_L5_magnitude,0.03296639485924057,Original,4
TPOT Original,HH_L1_magnitude,0.03295141509499797,Original,5
TPOT Original,HH_L1_mean,0.03199440692959532,Original,6
TPOT Original,HH_L3_mean,0.031100355091083914,Original,7
TPOT Original,HH_L5_mean,0.028838170250134826,Original,8
TPOT Original,HH_L3_magnitude,0.02503875023739585,Original,9
TPOT Original,HH_L1_std,0.024381659420094695,Original,10
TPOT Original,HH_L5_radius,0.02337659560241744,Original,11
TPOT Original,HH_L1_radius,0.02116665086076088,Original,12
TPOT Original,HH_L5_std,0.018483913410718353,Original,13
TPOT Original,HH_L3_radius,0.017489602640934368,Original,14
TPOT Original,HpHp_L0.01_pcc,0.01674388881133265,Original,15
TPOT BigFeat,BigFeat_Gen_0,0.043293549661278304,BigFeat_Generated,1
TPOT BigFeat,HH_L1_weight,0.039891701106065124,Original,2
TPOT BigFeat,HH_L3_weight,0.03241662156157625,Original,3
TPOT BigFeat,HH_L3_mean,0.02614993496684484,Original,4
TPOT BigFeat,HH_L1_mean,0.025618180901783118,Original,5
TPOT BigFeat,HH_L5_weight,0.023514971771997198,Original,6
TPOT BigFeat,HH_L5_mean,0.018005180883393108,Original,7
TPOT BigFeat,HH_L1_magnitude,0.017784140171940296,Original,8
TPOT BigFeat,BigFeat_Gen_1,0.017571871717707452,BigFeat_Generated,9
TPOT BigFeat,HH_L5_magnitude,0.015103511885271521,Original,10
TPOT BigFeat,HH_L3_magnitude,0.013449919122647092,Original,11
TPOT BigFeat,HH_L1_std,0.012175018228624698,Original,12
TPOT BigFeat,HH_L1_radius,0.010120691929954923,Original,13
TPOT BigFeat,HH_L3_std,0.00790089074263448,Original,14
TPOT BigFeat,HH_L3_radius,0.006402310960225933,Original,15
