Feature_Name,SHAP_Value,Feature_Type,Rank
HH_L1_weight,0.0314997011940114,Original,1
HH_L5_magnitude,0.0268697537355776,Original,2
HH_L3_weight,0.024390513758297774,Original,3
HH_L1_magnitude,0.02295301976407165,Original,4
HH_L3_magnitude,0.022266073017147284,Original,5
HH_L5_weight,0.018072071505172826,Original,6
HH_L5_mean,0.01732644098172846,Original,7
HH_L3_mean,0.01683824428708254,Original,8
HH_L1_mean,0.014052960407336067,Original,9
HH_L5_std,0.006224812041925431,Original,10
HH_L1_std,0.005780613715776609,Original,11
HH_L1_radius,0.005725178191627756,Original,12
HH_L3_radius,0.00519149280661148,Original,13
HH_L3_std,0.005169937881001275,Original,14
HH_L5_radius,0.005012634990705164,Original,15
