Feature_Name,SHAP_Value,Feature_Type,Rank
HH_L1_weight,0.02774433648873809,Original,1
HH_L5_magnitude,0.02346841411536443,Original,2
HH_L3_weight,0.02314093695418302,Original,3
HH_L3_magnitude,0.023036309594392086,Original,4
HH_L5_weight,0.020328475831227443,Original,5
HH_L1_magnitude,0.020120769889602902,Original,6
HH_L3_mean,0.017033379401812057,Original,7
HH_L5_mean,0.015969122309969046,Original,8
HH_L1_mean,0.013618431022706346,Original,9
HH_L1_radius,0.005714635618446257,Original,10
HH_L3_radius,0.005033010306768869,Original,11
HH_L3_std,0.0047528324221942555,Original,12
HH_L1_std,0.004508038733538791,Original,13
HH_L5_radius,0.00438543359931353,Original,14
HH_L5_std,0.0033778959804212135,Original,15
