Feature_Name,SHAP_Value,Feature_Type,Rank
HH_L5_magnitude,0.024211640098225032,Original,1
HH_L1_weight,0.01850111252429232,Original,2
HH_L3_weight,0.017739111598782668,Original,3
HH_L1_magnitude,0.017053880021616532,Original,4
HH_L3_mean,0.01687235686716607,Original,5
HH_L1_mean,0.016276610085437092,Original,6
BigFeat_Gen_0,0.015691239297936296,BigFeat_Generated,7
HH_L3_magnitude,0.015185176681578528,Original,8
HH_L5_weight,0.014090930803859982,Original,9
BigFeat_Gen_1,0.01408019087931053,BigFeat_Generated,10
HH_L5_mean,0.012810994000682759,Original,11
BigFeat_Gen_2,0.01173956984017205,BigFeat_Generated,12
HH_L1_radius,0.008032575256422324,Original,13
HH_L1_std,0.006523579650816636,Original,14
HH_L3_std,0.0058485896331420964,Original,15
