,accuracy,f1_score
ExtraTrees Original,0.7101674641148326,0.6972180539210857
ExtraTrees BigFeat,0.7115071770334929,0.698832539699013
TPOT Original,0.7061722488038278,0.6927044466201263
TPOT BigFeat,0.7054784688995215,0.6920909229755947
