Model,Feature,SHAP_Value,Feature_Type,Rank
ExtraTrees Original,HH_L1_magnitude,0.02695390943690899,Original,1
ExtraTrees Original,HH_L1_weight,0.022348650243711483,Original,2
ExtraTrees Original,HH_L3_magnitude,0.020593797327929878,Original,3
ExtraTrees Original,HH_L5_weight,0.01922219860767715,Original,4
ExtraTrees Original,HH_L3_weight,0.018800378219042756,Original,5
ExtraTrees Original,HH_L5_magnitude,0.01869406526019896,Original,6
ExtraTrees Original,HH_L3_mean,0.013562326958102174,Original,7
ExtraTrees Original,HH_L1_mean,0.013381640299973624,Original,8
ExtraTrees Original,HH_L1_std,0.011361340017275583,Original,9
ExtraTrees Original,HH_L5_mean,0.009981896805995144,Original,10
ExtraTrees Original,HH_L1_radius,0.009580626927268297,Original,11
ExtraTrees Original,HH_L5_std,0.006913672373989561,Original,12
ExtraTrees Original,HH_L3_covariance,0.006643184756381958,Original,13
ExtraTrees Original,HH_L3_radius,0.006389417854402064,Original,14
ExtraTrees Original,HH_L3_std,0.0062676442053198125,Original,15
ExtraTrees BigFeat,HH_L1_weight,0.018690096611880532,Original,1
ExtraTrees BigFeat,BigFeat_Gen_0,0.014860916455277562,BigFeat_Generated,2
ExtraTrees BigFeat,HH_L3_weight,0.013086588693662532,Original,3
ExtraTrees BigFeat,HH_L1_magnitude,0.012538933139782415,Original,4
ExtraTrees BigFeat,HH_L5_magnitude,0.012140606939417492,Original,5
ExtraTrees BigFeat,HH_L1_mean,0.01209573976486893,Original,6
ExtraTrees BigFeat,BigFeat_Gen_3,0.011064587803866573,BigFeat_Generated,7
ExtraTrees BigFeat,HH_L3_mean,0.010348804833431919,Original,8
ExtraTrees BigFeat,HH_L5_weight,0.01034694143261269,Original,9
ExtraTrees BigFeat,HH_L5_mean,0.01022839387202991,Original,10
ExtraTrees BigFeat,HH_L3_magnitude,0.009120525175119161,Original,11
ExtraTrees BigFeat,BigFeat_Gen_1,0.00793403676222853,BigFeat_Generated,12
ExtraTrees BigFeat,HH_L1_std,0.007457136327442385,Original,13
ExtraTrees BigFeat,BigFeat_Gen_4,0.006784525283501406,BigFeat_Generated,14
ExtraTrees BigFeat,HH_L5_std,0.006028033706362091,Original,15
TPOT Original,HH_L1_magnitude,0.02419072219700818,Original,1
TPOT Original,HH_L1_weight,0.020761677923009637,Original,2
TPOT Original,HH_L3_magnitude,0.01861761255601538,Original,3
TPOT Original,HH_L5_magnitude,0.01742137594803544,Original,4
TPOT Original,HH_L3_weight,0.015879116482589283,Original,5
TPOT Original,HH_L5_mean,0.015600571737749744,Original,6
TPOT Original,HH_L3_mean,0.014256806087113378,Original,7
TPOT Original,HH_L5_weight,0.01376430782691533,Original,8
TPOT Original,HH_L1_mean,0.013651453881881192,Original,9
TPOT Original,HH_L1_std,0.01075602805316685,Original,10
TPOT Original,HH_L1_radius,0.008825930531134438,Original,11
TPOT Original,HH_L3_std,0.006166877282667675,Original,12
TPOT Original,HpHp_L0.01_pcc,0.005777287179407691,Original,13
TPOT Original,HH_L5_radius,0.005569496903190237,Original,14
TPOT Original,HH_L3_radius,0.005184184370824208,Original,15
TPOT BigFeat,HH_L1_weight,0.026309978784270823,Original,1
TPOT BigFeat,HH_L3_weight,0.017664352484417764,Original,2
TPOT BigFeat,BigFeat_Gen_2,0.01384727332264156,BigFeat_Generated,3
TPOT BigFeat,BigFeat_Gen_0,0.013462150623406506,BigFeat_Generated,4
TPOT BigFeat,BigFeat_Gen_3,0.0129496077740667,BigFeat_Generated,5
TPOT BigFeat,HH_L3_mean,0.012907007447670378,Original,6
TPOT BigFeat,HH_L1_magnitude,0.012775904665068817,Original,7
TPOT BigFeat,HH_L5_weight,0.012172977383016696,Original,8
TPOT BigFeat,HH_L5_magnitude,0.011843127498611541,Original,9
TPOT BigFeat,BigFeat_Gen_1,0.011425087579256034,BigFeat_Generated,10
TPOT BigFeat,HH_L3_magnitude,0.011395718553732205,Original,11
TPOT BigFeat,HH_L1_mean,0.01068429020927918,Original,12
TPOT BigFeat,BigFeat_Gen_4,0.0106059562740966,BigFeat_Generated,13
TPOT BigFeat,HH_L1_std,0.008534527389885659,Original,14
TPOT BigFeat,HH_L3_covariance,0.007531294313705156,Original,15
