,accuracy,f1_score
ExtraTrees Original,0.7161136363636363,0.7008656856786727
ExtraTrees BigFeat,0.7164545454545455,0.7013354746925806
TPOT Original,0.7092727272727273,0.6932425520915599
TPOT BigFeat,0.71475,0.6993083730084253
