Feature_Name,SHAP_Value,Feature_Type,Rank
HH_L1_weight,0.020311424959702798,Original,1
BigFeat_Gen_4,0.015493510178544277,BigFeat_Generated,2
HH_L3_weight,0.013521757544161938,Original,3
HH_L3_magnitude,0.0134700917641637,Original,4
HH_L5_weight,0.012689557988397262,Original,5
HH_L1_magnitude,0.012194076941003006,Original,6
HH_L5_magnitude,0.01141635513732457,Original,7
HH_L1_mean,0.011106184510351245,Original,8
BigFeat_Gen_3,0.009903478895009577,BigFeat_Generated,9
BigFeat_Gen_2,0.00970024673637697,BigFeat_Generated,10
HH_L3_mean,0.009674407799614365,Original,11
BigFeat_Gen_0,0.00927285748120177,BigFeat_Generated,12
HH_L5_mean,0.006504487209460623,Original,13
HH_L1_radius,0.005409226585242942,Original,14
HH_L1_std,0.005255276698266731,Original,15
