Feature_Name,SHAP_Value,Feature_Type,Rank
HH_L1_weight,0.018690096611880532,Original,1
BigFeat_Gen_0,0.014860916455277562,BigFeat_Generated,2
HH_L3_weight,0.013086588693662532,Original,3
HH_L1_magnitude,0.012538933139782415,Original,4
HH_L5_magnitude,0.012140606939417492,Original,5
HH_L1_mean,0.01209573976486893,Original,6
BigFeat_Gen_3,0.011064587803866573,BigFeat_Generated,7
HH_L3_mean,0.010348804833431919,Original,8
HH_L5_weight,0.01034694143261269,Original,9
HH_L5_mean,0.01022839387202991,Original,10
HH_L3_magnitude,0.009120525175119161,Original,11
BigFeat_Gen_1,0.00793403676222853,BigFeat_Generated,12
HH_L1_std,0.007457136327442385,Original,13
BigFeat_Gen_4,0.006784525283501406,BigFeat_Generated,14
HH_L5_std,0.006028033706362091,Original,15
