Feature_Name,SHAP_Value,Feature_Type,Rank
HH_L1_weight,0.03665771803096826,Original,1
BigFeat_Gen_0,0.03338098973401851,BigFeat_Generated,2
HH_L3_weight,0.02941720173293974,Original,3
HH_L1_magnitude,0.023723656472210464,Original,4
HH_L5_weight,0.02270225444428507,Original,5
HH_L5_mean,0.02248771277369499,Original,6
HH_L3_mean,0.020795909998923702,Original,7
HH_L1_mean,0.02037343173454806,Original,8
BigFeat_Gen_1,0.018684605283180552,BigFeat_Generated,9
HH_L5_magnitude,0.016919459750114132,Original,10
HH_L1_radius,0.01617946978827414,Original,11
HH_L3_magnitude,0.015156083063972285,Original,12
HH_L1_std,0.013733941982916576,Original,13
HH_L3_radius,0.011064633310085534,Original,14
HH_L3_std,0.010739300527606,Original,15
