Feature_Name,SHAP_Value,Feature_Type,Rank
HH_L1_weight,0.04733911397285691,Original,1
HH_L3_weight,0.03975907375803872,Original,2
HH_L1_magnitude,0.03949609588938777,Original,3
HH_L3_mean,0.03385196490450961,Original,4
HH_L5_weight,0.033755956959468536,Original,5
HH_L1_mean,0.030016255101880784,Original,6
HH_L5_magnitude,0.02989519855833353,Original,7
HH_L5_mean,0.026136460501778088,Original,8
HH_L3_magnitude,0.02236633549599727,Original,9
HH_L1_std,0.02044842249816349,Original,10
HH_L1_radius,0.015826325762798778,Original,11
HH_L3_radius,0.01486422111493942,Original,12
HH_L5_radius,0.013930496539266446,Original,13
HH_L3_std,0.012668278964674979,Original,14
HH_L5_std,0.011154430719217106,Original,15
