Feature_Name,SHAP_Value,Feature_Type,Rank
HH_L1_magnitude,0.02419072219700818,Original,1
HH_L1_weight,0.020761677923009637,Original,2
HH_L3_magnitude,0.01861761255601538,Original,3
HH_L5_magnitude,0.01742137594803544,Original,4
HH_L3_weight,0.015879116482589283,Original,5
HH_L5_mean,0.015600571737749744,Original,6
HH_L3_mean,0.014256806087113378,Original,7
HH_L5_weight,0.01376430782691533,Original,8
HH_L1_mean,0.013651453881881192,Original,9
HH_L1_std,0.01075602805316685,Original,10
HH_L1_radius,0.008825930531134438,Original,11
HH_L3_std,0.006166877282667675,Original,12
HpHp_L0.01_pcc,0.005777287179407691,Original,13
HH_L5_radius,0.005569496903190237,Original,14
HH_L3_radius,0.005184184370824208,Original,15
