Feature_Name,SHAP_Value,Feature_Type,Rank
HH_L1_weight,0.029776925754274756,Original,1
HH_L3_magnitude,0.028061612416244688,Original,2
HH_L1_magnitude,0.027469355549959457,Original,3
HH_L3_weight,0.02609591379118255,Original,4
HH_L5_magnitude,0.024319447519327953,Original,5
HH_L3_mean,0.019032333559756302,Original,6
HH_L5_weight,0.018867102337225255,Original,7
HH_L5_mean,0.018331948751611732,Original,8
HH_L1_mean,0.01769527226581122,Original,9
HH_L1_std,0.009770247508381773,Original,10
HH_L5_radius,0.00957895801139511,Original,11
HH_L3_std,0.007282327393145698,Original,12
HH_L1_radius,0.007179153264765338,Original,13
HH_L5_std,0.007053058452768251,Original,14
HH_L3_radius,0.006593650040852866,Original,15
