Device,Original,BigFeat,TPOT,BigFeat + TPOT
device1,0.6761993647317646,0.6759594256645401,0.6759953478296745,0.6753140862137033
device2,0.6917839559060325,0.695375576445097,0.6926010899876835,0.6944859517200105
device3,0.7690062993329264,0.770465464357091,0.7700058984693829,0.7703035140630192
device4,0.6834665729364447,0.6839254847694776,0.6829945689995872,0.6839328365299304
device5,0.6441170071901007,0.6445652500161195,0.6427994983577686,0.643933962559138
device6,0.6433639795339889,0.6442167288573387,0.6434278689019178,0.6431844675450785
device7,0.7735290892429324,0.7735910532013165,0.774892602861127,0.7740557623000858
device8,0.700735988360493,0.7027629076952676,0.699496836738124,0.7023277940318133
device9,0.6989390730602469,0.6987662852223264,0.7001067715366538,0.6981006900355824
