Model,Accuracy,Precision,Recall,F1 Score,Training Time
Decision Tree,0.44925857275254866,0.4338916797206081,0.44925857275254866,0.4399043333173843,0.02592158317565918
Random Forest,0.461306765523633,0.4462233477094712,0.461306765523633,0.4521115794981566,1.1212303638458252
AdaBoost,0.5514365152919369,0.4213683042976268,0.5514365152919369,0.4765368018838345,0.15290522575378418
SVM,0.5535217794253939,0.4279402816567297,0.5535217794253939,0.4662627452394486,7.415633916854858
Deep Neural Network,0.5551436515291936,0.4290085473242566,0.5551436515291936,0.4687441422204962,1.9365944862365723
TPOT (AutoML),0.5579240037071362,0.4281376765697611,0.5579240037071362,0.4760613677867801,101.18190288543701
