Model,Accuracy,Precision,Recall,F1 Score,Training Time
Decision Tree,0.4448563484708063,0.42756992933753957,0.4448563484708063,0.43434478705366714,0.055822134017944336
Random Forest,0.466404077849861,0.4472115358367938,0.466404077849861,0.4542008446438373,1.4311120510101318
AdaBoost,0.543790546802595,0.41696716285480356,0.543790546802595,0.471590769352076,0.24475789070129395
SVM,0.5514365152919369,0.42897850862442827,0.5514365152919369,0.46074428974825465,5.358188152313232
Deep Neural Network,0.5576923076923077,0.42950237648737843,0.5576923076923077,0.47428237631541004,1.8486287593841553
TPOT (AutoML),0.5567655236329935,0.4261877212278214,0.5567655236329935,0.48149168915804696,138.76296544075012
