Model,Accuracy,Precision,Recall,F1 Score,Training Time
Bagging,0.6878409090909091,0.7866647522978968,0.6878409090909091,0.6822396579396371,74.26981830596924
Stacking,0.6885681818181818,0.8111230248233352,0.6885681818181818,0.6829323343103983,52.58421540260315
Voting,0.6865454545454546,0.8018202876933693,0.6865454545454546,0.6809364664333013,9.738340377807617
Blending,0.6851590909090909,0.8003388573251717,0.6851590909090909,0.6795673505226296,10.050485134124756
TPOT (AutoML),0.6898181818181818,0.7485156319376957,0.6898181818181818,0.6833672821016079,569.3923051357269
