Model,Accuracy,Precision,Recall,F1 Score,Training Time
Bagging,0.6448636363636364,0.7730838915448959,0.6448636363636364,0.6444035087448168,201.8338861465454
Stacking,0.6432727272727272,0.76651756876318,0.6432727272727272,0.6431693286639794,101.0985677242279
Voting,0.6427954545454545,0.7698041084045056,0.6427954545454545,0.6421490758205173,19.778997898101807
Blending,0.6393636363636364,0.7707911475402268,0.6393636363636364,0.6380596106327294,19.884639739990234
TPOT (AutoML),0.6319318181818182,0.7511246171698343,0.6319318181818182,0.6296614324044931,622.8283271789551
