Model,Accuracy,Precision,Recall,F1 Score,Training Time
Bagging,0.7096650717703349,0.7964711548751818,0.7096650717703349,0.6975521299201607,169.7204234600067
Stacking,0.710933014354067,0.8006515004254907,0.710933014354067,0.6988357521738152,87.35722994804382
Voting,0.7071291866028708,0.7904874809003231,0.7071291866028708,0.6949288434886189,16.439093112945557
Blending,0.7032057416267943,0.784067421037036,0.7032057416267943,0.6906049830200264,16.46374773979187
TPOT (AutoML),0.6957177033492823,0.7598881692160394,0.6957177033492823,0.6818658515589582,523.3182315826416
