Model,Accuracy,Precision,Recall,F1 Score,Training Time
Bagging,0.825,0.7415553413933628,0.825,0.7690422978958522,97.44072246551514
Stacking,0.8257916666666667,0.7423907582726101,0.8257916666666667,0.7698553778548377,47.797507524490356
Voting,0.8217083333333334,0.7385293147576113,0.8217083333333334,0.7658039175456678,9.399030685424805
Blending,0.8177083333333334,0.7343909795307801,0.8177083333333334,0.7618146041351944,9.361349105834961
TPOT (AutoML),0.826,0.7424763335891904,0.826,0.7700000303295378,536.7529695034027
