Model,Accuracy,Precision,Recall,F1 Score,Training Time
Bagging,0.7091626794258373,0.7970290909993258,0.7091626794258373,0.6969714586218471,66.39428758621216
Stacking,0.7106459330143541,0.7957059009756251,0.7106459330143541,0.6983612541184426,50.4028046131134
Voting,0.7071291866028708,0.7928557247765264,0.7071291866028708,0.6949511183954794,8.944356679916382
Blending,0.7036602870813398,0.7886874937825098,0.7036602870813398,0.6909928999221352,9.017303228378296
TPOT (AutoML),0.7102153110047847,0.7918134530942554,0.7102153110047847,0.6978763721206442,533.985545873642
