Model,Accuracy,Precision,Recall,F1 Score,Training Time
Bagging,0.6438863636363636,0.7774674255116489,0.6438863636363636,0.643253764980155,79.42472100257874
Stacking,0.6421136363636364,0.8403363812551824,0.6421136363636364,0.6418395131285702,59.7533221244812
Voting,0.6415227272727273,0.7781471387364723,0.6415227272727273,0.6408328804287912,10.292058229446411
Blending,0.6380454545454546,0.7970127655781888,0.6380454545454546,0.636682664285683,10.43636679649353
TPOT (AutoML),0.6404090909090909,0.7672008415536081,0.6404090909090909,0.6391853071913169,574.0381224155426
