Model,Accuracy,Precision,Recall,F1 Score,Training Time
Bagging,0.704469696969697,0.9025419135901431,0.704469696969697,0.6921209141040865,47.67451858520508
Stacking,0.7046212121212121,0.8631112052945723,0.7046212121212121,0.6922485492454716,34.07935047149658
Voting,0.69875,0.8104093131180246,0.69875,0.6858835725548103,6.135209083557129
Blending,0.6946969696969697,0.8963761883721582,0.6946969696969697,0.6816193386564189,6.133430242538452
TPOT (AutoML),0.7033712121212121,0.7739081159723906,0.7033712121212121,0.6907314734943117,520.1084990501404
