Model,Original Accuracy,BigFeat Accuracy,Accuracy Diff,Original Precision,BigFeat Precision,Precision Diff,Original Recall,BigFeat Recall,Recall Diff,Original F1 Score,BigFeat F1 Score,F1 Score Diff,Original Training Time,BigFeat Training Time,Training Time Ratio
Bagging,0.7091626794258373,0.7096650717703349,0.0005023923444975598,0.7970290909993258,0.7964711548751818,-0.0005579361241440095,0.7091626794258373,0.7096650717703349,0.0005023923444975598,0.6969714586218471,0.6975521299201607,0.0005806712983136286,66.39428758621216,169.7204234600067,2.556250388855018
Stacking,0.7106459330143541,0.710933014354067,0.0002870813397128913,0.7957059009756251,0.8006515004254907,0.004945599449865612,0.7106459330143541,0.710933014354067,0.0002870813397128913,0.6983612541184426,0.6988357521738152,0.00047449805537258527,50.4028046131134,87.35722994804382,1.7331819254620586
Voting,0.7071291866028708,0.7071291866028708,0.0,0.7928557247765264,0.7904874809003231,-0.0023682438762033797,0.7071291866028708,0.7071291866028708,0.0,0.6949511183954794,0.6949288434886189,-2.2274906860464405e-05,8.944356679916382,16.439093112945557,1.837929065357805
Blending,0.7036602870813398,0.7032057416267943,-0.00045454545454548523,0.7886874937825098,0.784067421037036,-0.004620072745473824,0.7036602870813398,0.7032057416267943,-0.00045454545454548523,0.6909928999221352,0.6906049830200264,-0.00038791690210882024,9.017303228378296,16.46374773979187,1.82579506564434
TPOT (AutoML),0.7102153110047847,0.6957177033492823,-0.014497607655502454,0.7918134530942554,0.7598881692160394,-0.031925283878216026,0.7102153110047847,0.6957177033492823,-0.014497607655502454,0.6978763721206442,0.6818658515589582,-0.01601052056168606,533.985545873642,523.3182315826416,0.9800232152846987
AVERAGE,,,,,,,,,,,,,,,
