Model,Accuracy,Precision,Recall,F1 Score,Training Time
Bagging,0.828625,0.7455945280006676,0.828625,0.7731749018071813,102.50202178955078
Stacking,0.829,0.7459770952967018,0.829,0.7735485412720923,48.23939609527588
Voting,0.8253333333333334,0.7424943745224228,0.8253333333333334,0.769905059432842,9.53328537940979
Blending,0.8224166666666667,0.739437318351268,0.8224166666666667,0.7669886713036755,9.650086879730225
TPOT (AutoML),0.827875,0.7447613677799362,0.827875,0.7723902921418498,546.1723749637604
