Model,Accuracy,Precision,Recall,F1 Score,Training Time
Bagging,0.6817045454545455,0.8330471195592704,0.6817045454545455,0.6751289784984607,62.52938365936279
Stacking,0.682340909090909,0.847316980887062,0.682340909090909,0.675827003800673,49.35658240318298
Voting,0.6796818181818182,0.8312224961156808,0.6796818181818182,0.6731460384649524,8.394083023071289
Blending,0.6777272727272727,0.8426544793802732,0.6777272727272727,0.6711974067571851,8.883838653564453
TPOT (AutoML),0.6825454545454546,0.8076651713625299,0.6825454545454546,0.6760773332585741,527.008814573288
