Model,Original Accuracy,BigFeat Accuracy,Accuracy Diff,Original Precision,BigFeat Precision,Precision Diff,Original Recall,BigFeat Recall,Recall Diff,Original F1 Score,BigFeat F1 Score,F1 Score Diff,Original Training Time,BigFeat Training Time,Training Time Ratio
Bagging,0.825875,0.825,-0.0008750000000000702,0.7424307380029473,0.7415553413933628,-0.0008753966095845778,0.825875,0.825,-0.0008750000000000702,0.7699057926302805,0.7690422978958522,-0.0008634947344282606,37.534319162368774,97.44072246551514,2.596043424792088
Stacking,0.8254583333333333,0.8257916666666667,0.00033333333333340764,0.7421724399921567,0.7423907582726101,0.0002183182804534889,0.8254583333333333,0.8257916666666667,0.00033333333333340764,0.7695634087942491,0.7698553778548377,0.00029196906058859273,26.43008017539978,47.797507524490356,1.808451098418485
Voting,0.821625,0.8217083333333334,8.333333333332416e-05,0.7384942908146186,0.7385293147576113,3.5023942992706836e-05,0.821625,0.8217083333333334,8.333333333332416e-05,0.7657602202746799,0.7658039175456678,4.369727098785248e-05,5.051962852478027,9.399030685424805,1.860471060434363
Blending,0.8184166666666667,0.8177083333333334,-0.0007083333333333108,0.7351728861764273,0.7343909795307801,-0.0007819066456471457,0.8184166666666667,0.8177083333333334,-0.0007083333333333108,0.7625438316435346,0.7618146041351944,-0.0007292275083401467,5.179315567016602,9.361349105834961,1.8074490701919717
TPOT (AutoML),0.822125,0.826,0.003874999999999962,0.7384968952747876,0.7424763335891904,0.003979438314402839,0.822125,0.826,0.003874999999999962,0.7660985803213122,0.7700000303295378,0.0039014500082256154,572.8809535503387,536.7529695034027,0.9369363149131794
AVERAGE,,,,,,,,,,,,,,,
