Model,Accuracy,Precision,Recall,F1 Score,Training Time
Bagging,0.7044318181818182,0.8034141028652667,0.7044318181818182,0.6921203945486818,118.0050311088562
Stacking,0.7054924242424242,0.8575925622501587,0.7054924242424242,0.6932614280643418,58.860976457595825
Voting,0.7004924242424242,0.7975496255912795,0.7004924242424242,0.6880097004731257,11.370388507843018
Blending,0.6941287878787878,0.8380900610971896,0.6941287878787878,0.6811627038705665,11.403358459472656
TPOT (AutoML),0.7035984848484849,0.7739449063125972,0.7035984848484849,0.6908684519964663,541.064466714859
