Model,Accuracy,Precision,Recall,F1 Score,Training Time
Bagging,0.825875,0.7424307380029473,0.825875,0.7699057926302805,37.534319162368774
Stacking,0.8254583333333333,0.7421724399921567,0.8254583333333333,0.7695634087942491,26.43008017539978
Voting,0.821625,0.7384942908146186,0.821625,0.7657602202746799,5.051962852478027
Blending,0.8184166666666667,0.7351728861764273,0.8184166666666667,0.7625438316435346,5.179315567016602
TPOT (AutoML),0.822125,0.7384968952747876,0.822125,0.7660985803213122,572.8809535503387
