Model,Original Accuracy,BigFeat Accuracy,Accuracy Diff,Original Precision,BigFeat Precision,Precision Diff,Original Recall,BigFeat Recall,Recall Diff,Original F1 Score,BigFeat F1 Score,F1 Score Diff,Original Training Time,BigFeat Training Time,Training Time Ratio
Bagging,0.6431363636363636,0.6439772727272727,0.0008409090909090589,0.8407665669200396,0.8319283322944541,-0.008838234625585528,0.6431363636363636,0.6439772727272727,0.0008409090909090589,0.6420072585476411,0.6430170176264663,0.0010097590788252786,80.91815090179443,194.8216676712036,2.407638650908461
Stacking,0.6434772727272727,0.64425,0.0007727272727272583,0.8382785113994718,0.8297892220066242,-0.008489289392847654,0.6434772727272727,0.64425,0.0007727272727272583,0.6421805822259128,0.6431292839734151,0.0009487017475022785,61.23738169670105,101.3443660736084,1.6549428350080482
Voting,0.6396590909090909,0.6409090909090909,0.0012499999999999734,0.8075226168949765,0.803315596395885,-0.004207020499091496,0.6396590909090909,0.6409090909090909,0.0012499999999999734,0.638291331708994,0.6397047553641239,0.001413423655129864,10.855213165283203,20.05817151069641,1.8477915822828626
Blending,0.6381136363636364,0.6387727272727273,0.000659090909090887,0.8086978450607074,0.7960907469740971,-0.012607098086610313,0.6381136363636364,0.6387727272727273,0.000659090909090887,0.6364184744864496,0.6371417023742425,0.0007232278877928877,10.790336608886719,19.95356249809265,1.8492066764311386
TPOT (AutoML),0.6394772727272727,0.6330454545454546,-0.00643181818181815,0.761878430943993,0.7566512889756543,-0.005227141968338733,0.6394772727272727,0.6330454545454546,-0.00643181818181815,0.637712470534237,0.630633143660321,-0.007079326873915992,559.7086362838745,684.788765668869,1.223473645530022
AVERAGE,,,,,,,,,,,,,,,
