Model,Accuracy,Precision,Recall,F1 Score,Training Time
Bagging,0.6439772727272727,0.8319283322944541,0.6439772727272727,0.6430170176264663,194.8216676712036
Stacking,0.64425,0.8297892220066242,0.64425,0.6431292839734151,101.3443660736084
Voting,0.6409090909090909,0.803315596395885,0.6409090909090909,0.6397047553641239,20.05817151069641
Blending,0.6387727272727273,0.7960907469740971,0.6387727272727273,0.6371417023742425,19.95356249809265
TPOT (AutoML),0.6330454545454546,0.7566512889756543,0.6330454545454546,0.630633143660321,684.788765668869
