Model,Accuracy,Precision,Recall,F1 Score,Training Time
Bagging,0.6431363636363636,0.8407665669200396,0.6431363636363636,0.6420072585476411,80.91815090179443
Stacking,0.6434772727272727,0.8382785113994718,0.6434772727272727,0.6421805822259128,61.23738169670105
Voting,0.6396590909090909,0.8075226168949765,0.6396590909090909,0.638291331708994,10.855213165283203
Blending,0.6381136363636364,0.8086978450607074,0.6381136363636364,0.6364184744864496,10.790336608886719
TPOT (AutoML),0.6394772727272727,0.761878430943993,0.6394772727272727,0.637712470534237,559.7086362838745
