Model,Accuracy,Precision,Recall,F1 Score
Bagging,0.8252916666666666,0.7417944710977651,0.8252916666666666,0.7693153279392377
Stacking,0.825375,0.741847224187805,0.825375,0.7693876111868899
Voting,0.8252916666666666,0.7417944710977651,0.8252916666666666,0.7693153279392377
Blending,0.8252916666666666,0.7417944710977651,0.8252916666666666,0.7693153279392377
