Model,Accuracy,Precision,Recall,F1 Score
Bagging,0.6431363636363636,0.8407665669200396,0.6431363636363636,0.6420072585476411
Stacking,0.6431136363636364,0.8497673831706275,0.6431136363636364,0.6418186068744859
Voting,0.6431363636363636,0.8407665669200396,0.6431363636363636,0.6420072585476411
Blending,0.6431363636363636,0.8407665669200396,0.6431363636363636,0.6420072585476411
