Model,Original Accuracy,BigFeat Accuracy,Accuracy Diff,Original Precision,BigFeat Precision,Precision Diff,Original Recall,BigFeat Recall,Recall Diff,Original F1 Score,BigFeat F1 Score,F1 Score Diff
Bagging,0.829125,0.8287916666666667,-0.0003333333333332966,0.7460924994125537,0.7457176275589689,-0.0003748718535848683,0.829125,0.8287916666666667,-0.0003333333333332966,0.7736751253537516,0.7733207620252953,-0.0003543633284562864
Stacking,0.828875,0.828875,0.0,0.7458389984050543,0.7457993530089433,-3.964539611100992e-05,0.828875,0.828875,0.0,0.7734259392223015,0.773404580832871,-2.1358389430514713e-05
Voting,0.829125,0.8287916666666667,-0.0003333333333332966,0.7460924994125537,0.7457176275589689,-0.0003748718535848683,0.829125,0.8287916666666667,-0.0003333333333332966,0.7736751253537516,0.7733207620252953,-0.0003543633284562864
Blending,0.829125,0.8287916666666667,-0.0003333333333332966,0.7460924994125537,0.7457176275589689,-0.0003748718535848683,0.829125,0.8287916666666667,-0.0003333333333332966,0.7736751253537516,0.7733207620252953,-0.0003543633284562864
AVERAGE,0.8290624999999999,0.8288125,-0.00024999999999997247,0.7460291241606789,0.7457380589214624,-0.0002910652392164037,0.8290624999999999,0.8288125,-0.00024999999999997247,0.7736128288208891,0.7733417167271892,-0.00027111209369984346
