,accuracy,f1_score
ExtraTrees Original,0.7161136363636363,0.7008656856786727
ExtraTrees BigFeat,0.7155227272727273,0.7001428640122865
TPOT Original,0.7092727272727273,0.6932425520915599
TPOT BigFeat,0.7097727272727272,0.693924738016104
