,accuracy,f1_score
ExtraTrees Original,0.8297083333333334,0.7742093855181654
ExtraTrees BigFeat,0.830625,0.7751173960295744
TPOT Original,0.8285833333333333,0.7731041620690647
TPOT BigFeat,0.8302916666666667,0.7748045026971632
