,accuracy,f1_score
ExtraTrees Original,0.64125,0.6402979541772432
ExtraTrees BigFeat,0.6419318181818182,0.6410180175521151
TPOT Original,0.6383636363636364,0.6368708598133638
TPOT BigFeat,0.6402727272727273,0.6390309056495183
