feature,importance
HH_L3_magnitude,0.13191111908818665
HH_L1_weight,0.12851925417570326
HH_L1_magnitude,0.12831014410853897
HH_L5_magnitude,0.11641440158886608
HH_L5_weight,0.07068637124078397
HH_L3_weight,0.06213981204236567
HH_L1_radius,0.05195767836559713
HH_L3_mean,0.04473522166132812
HH_L1_mean,0.0425735316334388
HH_L1_std,0.036853927695808364
HH_L3_covariance,0.028022833372860954
HH_L5_mean,0.02766257971621955
HH_L3_radius,0.02224568065685842
HH_L5_radius,0.02129499403928842
HH_L3_pcc,0.018730739429493895
HH_L5_covariance,0.017706202810143137
HH_L3_std,0.01645415673262667
HpHp_L0.01_pcc,0.012817043210236457
HH_L5_std,0.010514508733547184
HH_L5_pcc,0.010449799698108372
