Model,Accuracy,Precision,Recall,F1 Score
Decision Tree,0.44925857275254866,0.4338916797206081,0.44925857275254866,0.4399043333173843
Random Forest,0.461306765523633,0.4462233477094712,0.461306765523633,0.4521115794981566
AdaBoost,0.5514365152919369,0.4213683042976268,0.5514365152919369,0.4765368018838345
SVM,0.5535217794253939,0.4279402816567297,0.5535217794253939,0.4662627452394486
Deep Neural Network,0.5551436515291936,0.4290085473242566,0.5551436515291936,0.4687441422204962
