Model,Original Accuracy,BigFeat Accuracy,Accuracy Diff,Original Precision,BigFeat Precision,Precision Diff,Original Recall,BigFeat Recall,Recall Diff,Original F1 Score,BigFeat F1 Score,F1 Score Diff
Decision Tree,0.44925857275254866,0.44462465245597776,-0.0046339202965708925,0.4338916797206081,0.43005900478023584,-0.0038326749403722604,0.44925857275254866,0.44462465245597776,-0.0046339202965708925,0.4399043333173843,0.4360333783736322,-0.003870954943752114
Random Forest,0.461306765523633,0.466404077849861,0.0050973123262280096,0.4462233477094712,0.4499165433580341,0.003693195648562908,0.461306765523633,0.466404077849861,0.0050973123262280096,0.4521115794981566,0.4562511627549882,0.004139583256831614
AdaBoost,0.5514365152919369,0.5495829471733086,-0.001853568118628357,0.4213683042976268,0.42038462824841943,-0.0009836760492073493,0.5514365152919369,0.5495829471733086,-0.001853568118628357,0.4765368018838345,0.4754565937326752,-0.0010802081511593342
SVM,0.5535217794253939,0.5500463392029658,-0.0034754402224281833,0.4279402816567297,0.4291980583611232,0.0012577767043934762,0.5535217794253939,0.5500463392029658,-0.0034754402224281833,0.4662627452394486,0.45823066870944307,-0.008032076530005539
Deep Neural Network,0.5551436515291936,0.5576923076923077,0.0025486561631140603,0.4290085473242566,0.42942490069721784,0.0004163533729612534,0.5551436515291936,0.5576923076923077,0.0025486561631140603,0.4687441422204962,0.4742805541892514,0.005536411968755206
AVERAGE,0.5141334569045413,0.5136700648748841,-0.0004633920296570726,0.4316864321417385,0.43179662708900607,0.00011019494726760559,0.5141334569045413,0.5136700648748841,-0.0004633920296570726,0.46071192043186404,0.460050471551998,-0.0006614488798660334
