Model,Accuracy,Precision,Recall,F1 Score
Decision Tree,0.44462465245597776,0.43005900478023584,0.44462465245597776,0.4360333783736322
Random Forest,0.466404077849861,0.4499165433580341,0.466404077849861,0.4562511627549882
AdaBoost,0.5495829471733086,0.42038462824841943,0.5495829471733086,0.4754565937326752
SVM,0.5500463392029658,0.4291980583611232,0.5500463392029658,0.45823066870944307
Deep Neural Network,0.5576923076923077,0.42942490069721784,0.5576923076923077,0.4742805541892514
